timesteps,NL11,NL12,NL13,NL21,NL22,NL23,NL31,NL32,NL33,NL34,NL41,NL42
2050-01-04 13:00:00,-1.53154771,-1.396354978,-1.136787581,-2.845437358,-0.512437432,-4.657168371,-2.133875001,-5.439481636,-6.719245772,-0.946172263,-5.41027351,-2.372277287
2050-01-04 14:00:00,-1.553875676,-1.41671201,-1.153360459,-2.886920118,-0.519908101,-4.725063804,-2.164984112,-5.518782175,-6.817203601,-0.959966219,-5.489148233,-2.406861992
2050-01-04 15:00:00,-1.601409215,-1.46004967,-1.188642114,-2.975231901,-0.535812251,-4.869604974,-2.231211648,-5.687603436,-7.025743977,-0.989331884,-5.657062982,-2.480488648
2050-01-04 16:00:00,-1.577047647,-1.437838546,-1.170559799,-2.929970943,-0.527661163,-4.795525711,-2.197269159,-5.601080305,-6.918864273,-0.974281592,-5.57100445,-2.442754012
2050-01-04 17:00:00,-1.57994571,-1.440480791,-1.172710879,-2.935355208,-0.528630821,-4.804338214,-2.201306973,-5.611373136,-6.931578732,-0.976071982,-5.581242013,-2.447242942
2050-01-04 18:00:00,-1.575502004,-1.43642934,-1.169412549,-2.927099319,-0.52714401,-4.790825682,-2.195115646,-5.595590763,-6.912083189,-0.973326712,-5.565544385,-2.440359902
2050-01-04 19:00:00,-1.576914092,-1.43771678,-1.170460668,-2.929722814,-0.527616478,-4.795119594,-2.19708308,-5.600605968,-6.918278338,-0.974199083,-5.570532661,-2.442547144
2050-01-04 20:00:00,-1.508593221,-1.375426726,-1.119749667,-2.802790589,-0.504757136,-4.587367789,-2.101892967,-5.357955921,-6.618539243,-0.931991248,-5.32918556,-2.336722134
2050-01-04 21:00:00,-1.406907372,-1.282716888,-1.044273591,-2.613870118,-0.470734275,-4.278158931,-1.960216093,-4.996806017,-6.172420453,-0.86917092,-4.969974905,-2.179216737
2050-01-04 22:00:00,-1.294653181,-1.180371595,-0.96095319,-2.405314899,-0.433175374,-3.936813594,-1.803814559,-4.598121335,-5.679935959,-0.799821593,-4.573431022,-2.0053416
2050-01-04 23:00:00,-1.376912068,-1.255369329,-1.02200965,-2.558142336,-0.460698207,-4.186948466,-1.918424233,-4.890273976,-6.040824281,-0.850640172,-4.864014905,-2.132755777
2050-01-05 00:00:00,-1.289940209,-1.176074647,-0.957454998,-2.396558747,-0.43159847,-3.922482274,-1.79724807,-4.581382634,-5.65925909,-0.796909975,-4.556782201,-1.998041485
2050-01-05 01:00:00,-1.239143603,-1.129761957,-0.91975134,-2.302184566,-0.414602537,-3.76801869,-1.726474167,-4.400972186,-5.436402903,-0.765528426,-4.377340495,-1.91936053
2050-01-05 02:00:00,-1.202258825,-1.096133071,-0.892373703,-2.233656941,-0.402261334,-3.655858539,-1.675083338,-4.269971322,-5.274581048,-0.742741441,-4.24704306,-1.862228179
2050-01-05 03:00:00,-1.181266446,-1.076993731,-0.876792161,-2.194655546,-0.395237537,-3.592024392,-1.645835074,-4.195414286,-5.182482742,-0.729772595,-4.17288637,-1.82971222
2050-01-05 04:00:00,-1.165000055,-1.062163206,-0.864718471,-2.164434484,-0.389794998,-3.542561144,-1.623171434,-4.137642179,-5.111118407,-0.719723409,-4.115424478,-1.804516537
2050-01-05 05:00:00,-1.083727773,-0.988064988,-0.804394316,-2.013440045,-0.36260227,-3.295426367,-1.509936378,-3.848993589,-4.754558547,-0.669514343,-3.828325831,-1.678630554
2050-01-05 06:00:00,-1.168401947,-1.065264806,-0.867243517,-2.170754804,-0.39093323,-3.552905703,-1.627911223,-4.149724422,-5.126043278,-0.721825058,-4.127441844,-1.809785868
2050-01-05 07:00:00,-1.186775083,-1.082016109,-0.880880933,-2.204889951,-0.39708066,-3.608775191,-1.653510148,-4.214978891,-5.206650374,-0.733175766,-4.19234592,-1.838244774
2050-01-05 08:00:00,-1.399573487,-1.276030379,-1.038830033,-2.600244614,-0.468280445,-4.25585787,-1.949997937,-4.970758814,-6.140245042,-0.864640131,-4.944067567,-2.16785698
2050-01-05 09:00:00,-1.465616134,-1.336243312,-1.087850028,-2.722944164,-0.49037752,-4.456681995,-2.042013845,-5.205317466,-6.429989054,-0.905440506,-5.177366721,-2.270153155
2050-01-05 10:00:00,-1.470949014,-1.341105448,-1.091808345,-2.732852035,-0.492161838,-4.472898349,-2.049444042,-5.224257852,-6.453385604,-0.908735097,-5.196205403,-2.278413473
2050-01-05 11:00:00,-1.478470283,-1.3479628,-1.097390989,-2.746825678,-0.494678364,-4.495769212,-2.059923277,-5.250970573,-6.486383112,-0.91338165,-5.222774686,-2.290063476
2050-01-05 12:00:00,-1.40696121,-1.282765973,-1.044313553,-2.613970144,-0.470752289,-4.278322643,-1.960291105,-4.99699723,-6.172656653,-0.86920418,-4.970165091,-2.179300129
2050-01-05 13:00:00,-1.43770266,-1.310793815,-1.06713132,-2.671084179,-0.481038008,-4.371802009,-2.003122557,-5.106179303,-6.307526339,-0.888195889,-5.078760895,-2.226916827
2050-01-05 14:00:00,-1.435959672,-1.309204684,-1.065837591,-2.66784591,-0.480454825,-4.366501887,-2.000694086,-5.099988863,-6.299879456,-0.887119091,-5.072603696,-2.22421704
2050-01-05 15:00:00,-1.464153977,-1.334910223,-1.086764746,-2.720227648,-0.4898883,-4.452235833,-2.039976652,-5.200124437,-6.423574244,-0.904537203,-5.172201576,-2.267888361
2050-01-05 16:00:00,-1.456837502,-1.328239587,-1.081334109,-2.706634488,-0.487440296,-4.429987712,-2.029782752,-5.174139066,-6.391475212,-0.90001717,-5.146355737,-2.25655557
2050-01-05 17:00:00,-1.540976467,-1.40495144,-1.143786053,-2.86295489,-0.515592181,-4.685839569,-2.1470119,-5.472969035,-6.760611858,-0.951997239,-5.443581093,-2.386881877
2050-01-05 18:00:00,-1.544946433,-1.408570969,-1.14673275,-2.870330625,-0.516920484,-4.697911541,-2.152543175,-5.487068862,-6.778028996,-0.954449837,-5.457605209,-2.39303112
2050-01-05 19:00:00,-1.556676657,-1.419265743,-1.155439481,-2.892124015,-0.520845275,-4.733581097,-2.168886663,-5.528730206,-6.829492137,-0.961696632,-5.499042847,-2.411200547
2050-01-05 20:00:00,-1.491382482,-1.359735213,-1.106975037,-2.770815039,-0.49899863,-4.535032946,-2.077913586,-5.296829846,-6.543031842,-0.921358655,-5.268387711,-2.310063712
2050-01-05 21:00:00,-1.382798994,-1.260736604,-1.026379207,-2.56907956,-0.462667902,-4.204849577,-1.92662637,-4.911182124,-6.066651555,-0.854277046,-4.884810783,-2.141874279
2050-01-05 22:00:00,-1.285307033,-1.171850451,-0.954016035,-2.387950845,-0.430048265,-3.908393597,-1.790792758,-4.564927334,-5.6389323,-0.794047653,-4.540415261,-1.990864968
2050-01-05 23:00:00,-1.355895443,-1.236207882,-1.006410111,-2.519095894,-0.453666298,-4.12304059,-1.889142187,-4.815630826,-5.948619599,-0.837656347,-4.789772562,-2.100202261
2050-01-06 00:00:00,-1.182310869,-1.077945961,-0.877567381,-2.196595962,-0.395586988,-3.595200299,-1.647290248,-4.199123684,-5.187064861,-0.730417827,-4.176575849,-1.83132997
2050-01-06 01:00:00,-1.148048,-1.046707542,-0.852135849,-2.132939539,-0.384123044,-3.491012914,-1.599552473,-4.077434853,-5.036745913,-0.709250627,-4.055540445,-1.778258801
2050-01-06 02:00:00,-1.116804304,-1.018221789,-0.828945292,-2.07489239,-0.37366928,-3.396006307,-1.556021252,-3.966468994,-4.899672763,-0.689948638,-3.945170434,-1.729864155
2050-01-06 03:00:00,-1.101447014,-1.004220117,-0.81754638,-2.046360332,-0.368530915,-3.349307476,-1.534624244,-3.911925672,-4.83229686,-0.680461083,-3.890919991,-1.706076616
2050-01-06 04:00:00,-1.097234844,-1.000379763,-0.814419907,-2.03853461,-0.367121574,-3.336499004,-1.528755511,-3.896965627,-4.813817118,-0.677858854,-3.876040276,-1.699552212
2050-01-06 05:00:00,-1.031951585,-0.940859187,-0.765963567,-1.917245916,-0.345278581,-3.137984049,-1.437797645,-3.66510404,-4.527404718,-0.63752762,-3.645423705,-1.598432286
2050-01-06 06:00:00,-1.058939906,-0.965465195,-0.785995582,-1.967387074,-0.354308549,-3.220050805,-1.475399935,-3.760956406,-4.645808576,-0.654200689,-3.740761377,-1.640235607
2050-01-06 07:00:00,-1.113644428,-1.015340842,-0.826599882,-2.069021709,-0.372612023,-3.386397678,-1.55161866,-3.955246303,-4.885809674,-0.687996503,-3.934008005,-1.724969693
